alphaP_list,alphaN_list,alphaF_list,beta_list,phi_list,tau_list
0.39963209507789,0.39963209507789,0.39963209507789,3.0,0,0
0.8605714451279329,0.8605714451279329,0.8605714451279329,3.0,0,0
0.685595153449124,0.685595153449124,0.685595153449124,3.0,0,0
0.5789267873576293,0.5789267873576293,0.5789267873576293,3.0,0,0
0.22481491235394924,0.22481491235394924,0.22481491235394924,3.0,0,0
0.22479561626896213,0.22479561626896213,0.22479561626896213,3.0,0,0
0.14646688973455957,0.14646688973455957,0.14646688973455957,3.0,0,0
0.7929409166199481,0.7929409166199481,0.7929409166199481,3.0,0,0
0.5808920093945671,0.5808920093945671,0.5808920093945671,3.0,0,0
0.6664580622368363,0.6664580622368363,0.6664580622368363,3.0,0,0
0.11646759543664197,0.11646759543664197,0.11646759543664197,3.0,0,0
0.8759278817295955,0.8759278817295955,0.8759278817295955,3.0,0,0
0.7659541126403374,0.7659541126403374,0.7659541126403374,3.0,0,0
0.26987128854262094,0.26987128854262094,0.26987128854262094,3.0,0,0
0.24545997376568052,0.24545997376568052,0.24545997376568052,3.0,0,0
0.24672360788274705,0.24672360788274705,0.24672360788274705,3.0,0,0
0.3433937943676302,0.3433937943676302,0.3433937943676302,3.0,0,0
0.5198051453057903,0.5198051453057903,0.5198051453057903,3.0,0,0
0.4455560149136927,0.4455560149136927,0.4455560149136927,3.0,0,0
0.3329833121584336,0.3329833121584336,0.3329833121584336,3.0,0,0
0.5894823157779036,0.5894823157779036,0.5894823157779036,3.0,0,0
0.21159508852163347,0.21159508852163347,0.21159508852163347,3.0,0,0
0.3337157188281745,0.3337157188281745,0.3337157188281745,3.0,0,0
0.39308947463495336,0.39308947463495336,0.39308947463495336,3.0,0,0
0.46485598737362877,0.46485598737362877,0.46485598737362877,3.0,0,0
0.728140769114411,0.728140769114411,0.728140769114411,3.0,0,0
0.25973902572668783,0.25973902572668783,0.25973902572668783,3.0,0,0
0.5113875507308893,0.5113875507308893,0.5113875507308893,3.0,0,0
0.573931655089634,0.573931655089634,0.573931655089634,3.0,0,0
0.13716033017599819,0.13716033017599819,0.13716033017599819,3.0,0,0
0.5860358815211507,0.5860358815211507,0.5860358815211507,3.0,0,0
0.23641929894983324,0.23641929894983324,0.23641929894983324,3.0,0,0
0.15204127438822362,0.15204127438822362,0.15204127438822362,3.0,0,0
0.8591084298026667,0.8591084298026667,0.8591084298026667,3.0,0,0
0.8725056264596475,0.8725056264596475,0.8725056264596475,3.0,0,0
0.746717878493169,0.746717878493169,0.746717878493169,3.0,0,0
0.34369101533869656,0.34369101533869656,0.34369101533869656,3.0,0,0
0.1781376912051071,0.1781376912051071,0.1781376912051071,3.0,0,0
0.6473864212097256,0.6473864212097256,0.6473864212097256,3.0,0,0
0.45212199499168104,0.45212199499168104,0.45212199499168104,3.0,0,0
0.19763058787582308,0.19763058787582308,0.19763058787582308,3.0,0,0
0.4961415280890161,0.4961415280890161,0.4961415280890161,3.0,0,0
0.12751081689217472,0.12751081689217472,0.12751081689217472,3.0,0,0
0.8274563216630256,0.8274563216630256,0.8274563216630256,3.0,0,0
0.3070239852800135,0.3070239852800135,0.3070239852800135,3.0,0,0
0.6300178274831856,0.6300178274831856,0.6300178274831856,3.0,0,0
0.34936886087152874,0.34936886087152874,0.34936886087152874,3.0,0,0
0.5160544169422486,0.5160544169422486,0.5160544169422486,3.0,0,0
0.5373682234746238,0.5373682234746238,0.5373682234746238,3.0,0,0
0.24788356442042164,0.24788356442042164,0.24788356442042164,3.0,0,0
0.8756677022116469,0.8756677022116469,0.8756677022116469,3.0,0,0
0.7201062586888917,0.7201062586888917,0.7201062586888917,3.0,0,0
0.8515991532513513,0.8515991532513513,0.8515991532513513,3.0,0,0
0.815861880342119,0.815861880342119,0.815861880342119,3.0,0,0
0.5783199830488681,0.5783199830488681,0.5783199830488681,3.0,0,0
0.8374993880184934,0.8374993880184934,0.8374993880184934,3.0,0,0
0.1707940016415356,0.1707940016415356,0.1707940016415356,3.0,0,0
0.25678628993531616,0.25678628993531616,0.25678628993531616,3.0,0,0
0.13618183112843046,0.13618183112843046,0.13618183112843046,3.0,0,0
0.36026426461061145,0.36026426461061145,0.36026426461061145,3.0,0,0
0.4109418317515856,0.4109418317515856,0.4109418317515856,3.0,0,0
0.3170792254191167,0.3170792254191167,0.3170792254191167,3.0,0,0
0.7629900073215435,0.7629900073215435,0.7629900073215435,3.0,0,0
0.38540266135487145,0.38540266135487145,0.38540266135487145,3.0,0,0
0.32474760774990463,0.32474760774990463,0.32474760774990463,3.0,0,0
0.5341568665265988,0.5341568665265988,0.5341568665265988,3.0,0,0
0.21273937997981013,0.21273937997981013,0.21273937997981013,3.0,0,0
0.7417575846032317,0.7417575846032317,0.7417575846032317,3.0,0,0
0.15964051494381667,0.15964051494381667,0.15964051494381667,3.0,0,0
0.8895095492804138,0.8895095492804138,0.8895095492804138,3.0,0,0
0.717795815437326,0.717795815437326,0.717795815437326,3.0,0,0
0.2589725452273379,0.2589725452273379,0.2589725452273379,3.0,0,0
0.10441769369888193,0.10441769369888193,0.10441769369888193,3.0,0,0
0.7523691427638673,0.7523691427638673,0.7523691427638673,3.0,0,0
0.6654858750780936,0.6654858750780936,0.6654858750780936,3.0,0,0
0.6832057344327899,0.6832057344327899,0.6832057344327899,3.0,0,0
0.7170162773487566,0.7170162773487566,0.7170162773487566,3.0,0,0
0.1592357213872723,0.1592357213872723,0.1592357213872723,3.0,0,0
0.38677258283541815,0.38677258283541815,0.38677258283541815,3.0,0,0
0.1926952476201038,0.1926952476201038,0.1926952476201038,3.0,0,0
0.7904827407004749,0.7904827407004749,0.7904827407004749,3.0,0,0
0.5986385014620463,0.5986385014620463,0.5986385014620463,3.0,0,0
0.3647184198821194,0.3647184198821194,0.3647184198821194,3.0,0,0
0.15084668022881892,0.15084668022881892,0.15084668022881892,3.0,0,0
